,FECHA,UTIL,IRRAD,ANNO,DIA,DIASEM,MES,TRAMO
14851,2020-01-31 09:00:00,0.336942086635678,531213.9,2020,31,4,1,9
14852,2020-01-31 12:00:00,0.426626801565961,1132721.5,2020,31,4,1,12
14853,2020-01-31 15:00:00,0.147976527882566,595977.9,2020,31,4,1,15
14854,2020-01-31 18:00:00,8.30234655447429e-06,0.0,2020,31,4,1,18
14855,2020-01-31 21:00:00,1.2107588725275e-06,0.0,2020,31,4,1,21
14856,2020-02-01 00:00:00,2.07558663861857e-05,0.0,2020,1,5,2,0
14857,2020-02-01 03:00:00,8.09478789061243e-05,0.0,2020,1,5,2,3
14858,2020-02-01 06:00:00,0.0285387973843457,0.0,2020,1,5,2,6
14859,2020-02-01 09:00:00,0.274986344369573,632077.5,2020,1,5,2,9
14860,2020-02-01 12:00:00,0.428086803800676,1508461.8,2020,1,5,2,12
14861,2020-02-01 15:00:00,0.215691331208624,900605.25,2020,1,5,2,15
14862,2020-02-01 18:00:00,3.02689718131875e-05,0.0,2020,1,5,2,18
14863,2020-02-01 21:00:00,3.6322766175825e-06,0.0,2020,1,5,2,21
14864,2020-02-02 00:00:00,4.08198705594986e-05,0.0,2020,2,6,2,0
14865,2020-02-02 03:00:00,0.0001357779592762,0.0,2020,2,6,2,3
14866,2020-02-02 06:00:00,0.0758917498544495,0.0,2020,2,6,2,6
14867,2020-02-02 09:00:00,0.520176085851798,892625.06,2020,2,6,2,9
14868,2020-02-02 12:00:00,0.576396809269847,1784936.2,2020,2,6,2,12
14869,2020-02-02 15:00:00,0.250871313974337,1019463.1,2020,2,6,2,15
14870,2020-02-02 18:00:00,4.358731941099e-05,0.0,2020,2,6,2,18
14871,2020-02-02 21:00:00,3.80524217080072e-06,0.0,2020,2,6,2,21
14872,2020-02-03 00:00:00,4.1165801665935e-05,0.0,2020,3,0,2,0
14873,2020-02-03 03:00:00,0.0001366427870423,0.0,2020,3,0,2,3
14874,2020-02-03 06:00:00,0.0854475777730962,0.0,2020,3,0,2,6
14875,2020-02-03 09:00:00,0.55011313676836,970931.75,2020,3,0,2,9
14876,2020-02-03 12:00:00,0.582399751759838,1877201.8,2020,3,0,2,12
14877,2020-02-03 15:00:00,0.260107501550636,1107776.2,2020,3,0,2,15
14878,2020-02-03 18:00:00,4.91222171139729e-05,0.0,2020,3,0,2,18
14879,2020-02-03 21:00:00,4.32413883045536e-06,0.0,2020,3,0,2,21
14880,2020-02-04 00:00:00,4.20306294320261e-05,0.0,2020,4,1,2,0
14881,2020-02-04 03:00:00,0.0001388913392342,0.0,2020,4,1,2,3
14882,2020-02-04 06:00:00,0.0837760386667954,0.0,2020,4,1,2,6
14883,2020-02-04 09:00:00,0.549136227323784,995794.25,2020,4,1,2,9
14884,2020-02-04 12:00:00,0.592152241512494,1910503.8,2020,4,1,2,12
14885,2020-02-04 15:00:00,0.266627956975856,1142907.5,2020,4,1,2,15
14886,2020-02-04 18:00:00,3.19986273453697e-05,0.0,2020,4,1,2,18
14887,2020-02-04 21:00:00,4.32413883045536e-06,0.0,2020,4,1,2,21
14888,2020-02-05 00:00:00,4.01280083466257e-05,0.0,2020,5,2,2,0
14889,2020-02-05 03:00:00,0.0001312808548926,0.0,2020,5,2,2,3
14890,2020-02-05 06:00:00,0.0781255999742627,0.0,2020,5,2,2,6
14891,2020-02-05 09:00:00,0.477457745380177,927116.1,2020,5,2,2,9
14892,2020-02-05 12:00:00,0.513000955807647,1798476.2,2020,5,2,2,12
14893,2020-02-05 15:00:00,0.21152043985832,988899.7,2020,5,2,2,15
14894,2020-02-05 18:00:00,3.96091116869711e-05,0.0,2020,5,2,2,18
